Year,Duration,Genre,Rating,Votes,Director
2006,133.0,Action,5.7,17,Arjun Sarja
1976,170.0,"Action, Romance",3.5,23,Kundan Kumar
1995,133.0,Action,5.1,16,Sahil Surti
2000,141.5,"Action, Crime, Thriller",5.8,8,Pratap Barot
1992,133.0,Action,5.1,16,Satya Murthy G.
2000,128.0,"Action, Crime",4.3,31,Kasam Ali
1995,133.0,Action,5.1,16,Pavithran
1991,123.0,"Action, Romance",3.1,14,Kukoo Kapoor
1997,133.0,Action,5.1,16,Kodanda Rami Reddy A.
1976,121.0,Drama,4.5,10,Surendra Shailaj
1984,157.0,"Action, Drama",5.8,65,Narayana Rao Dasari
1988,128.0,"Action, Drama",5.0,26,Babbar Subhash
1990,132.0,Action,3.3,15,Shibu Mitra
1985,120.0,Adventure,5.3,37,S.V. Rajendra Singh Babu
1984,137.0,"Action, Drama, Crime",5.6,79,Ravi Chopra
1991,121.0,Drama,6.5,24,Ajay Kumar
1979,121.0,Drama,6.5,24,Mukul Dutt
1940,121.0,Drama,6.5,24,G.P. Pawar
1988,133.0,Action,5.1,16,Kodanda Rami Reddy A.
1976,121.0,Drama,6.5,24,Unknown
1992,108.0,Thriller,5.5,22,Madhuri
1973,124.0,Comedy,7.3,88,Rajendra Bhatia
1993,146.0,"Action, Drama",3.8,14,Avtar Bhogal
1968,121.0,Drama,6.5,24,Unknown
1994,130.0,Romance,5.7,21,Rakesh Kakaria
2000,121.0,Drama,6.5,24,Pradeep Chandra
2002,130.0,Romance,5.7,21,Unknown
1993,162.0,Romance,4.4,30,Ketan Anand
2007,137.0,"Drama, Family, Music",6.2,2998,Anil Mehta
1994,137.0,"Drama, Romance",6.2,81,Tammu Hasan
1968,121.0,"Drama, Romance",6.7,14,Yusuf Naqvi
1994,137.0,"Drama, Romance",3.3,7,Mohnish Bahl
1993,120.0,Drama,6.5,24,Dinkar Chowdhary
2019,121.0,Drama,6.5,24,Ravi Buley
1984,124.0,Comedy,5.9,41,K.K. Talwar
2000,135.0,"Action, Mystery, Thriller",4.4,5,Bapu
1985,121.0,Drama,6.6,158,J. Om Prakash
1986,164.0,"Action, Crime, Drama",7.1,1283,Bhagyaraj
1988,148.0,"Action, Thriller",5.2,78,Rajiv Mehra
1989,149.0,"Action, Drama, Family",4.1,53,Ashim S. Samanta
1989,120.0,"Action, Crime, Drama",5.0,21,Mangal Chakravarty
2004,133.0,Action,5.1,16,Meena Amani
1991,109.0,Horror,4.8,47,Kiran Ramsay
1975,142.0,"Action, Crime, Drama",5.5,29,A. Salaam
1978,133.0,Action,5.6,21,Prakash Mehra
1958,124.0,Comedy,6.4,16,Mahesh Kaul
2004,121.0,Drama,6.5,24,Kishore Dang
1989,171.0,"Action, Crime, Drama",4.9,34,Shibu Mitra
1977,133.0,Action,4.8,18,Shibu Mitra
1980,120.0,"Action, Mystery",4.9,10,Kalidas
2002,133.0,Action,2.5,16,Rajesh Bakshi
1979,126.0,"Action, Thriller",6.3,7,Dinesh-Ramanesh
1966,153.0,Drama,6.9,122,Chetan Anand
2003,108.0,Thriller,5.5,22,Amrit Batra
1994,130.0,Romance,5.7,21,Abhilasha
1981,121.0,"Drama, Musical",6.7,110,Hiren Nag
1978,133.0,Action,5.1,16,Unknown
1988,121.0,Drama,6.5,24,K.C. Agarwal
1999,108.0,Thriller,5.5,22,Papu Bahruz
1977,110.0,Drama,6.5,24,Helen
1990,160.0,"Action, Romance",7.3,39,N.K. Vishwanathan
1997,138.0,Action,2.8,17,Narendra Bedi
2016,108.0,Thriller,5.5,22,Sandeep Kumar
1975,139.0,"Drama, History, Romance",6.3,44,J. Om Prakash
2001,121.0,Drama,6.5,24,Unknown
1988,121.0,Drama,6.5,24,Vinod Kumar
1980,144.0,"Crime, Drama, Music",7.9,887,Govind Nihalani
2010,115.0,"Action, Crime, Thriller",7.0,3464,Priyadarshan
1998,142.0,"Action, Crime, Drama",4.6,93,Lateef Binny
2012,116.0,Sci-Fi,5.4,26,Manish Manikpuri
2001,177.0,"Action, Thriller",7.2,2192,Suresh Krishna
1962,124.0,"Drama, History",6.8,39,Jaswant Jhaveri
2007,152.0,Action,3.0,922,Chella
2018,107.0,"Drama, Family",7.7,72,Mrinal Sen
2001,150.0,"Comedy, Drama, Family",4.8,1238,K. Raghavendra Rao
2008,99.0,"Action, Crime, Drama",7.7,10862,Raj Kumar Gupta
2013,62.0,Animation,6.3,13,Rajiv Chilaka
1967,163.0,"Crime, Mystery, Romance",6.5,81,Suraj Prakash
1982,143.0,"Action, Crime, Drama",6.4,53,Ashim S. Samanta
2009,121.0,Drama,5.8,60,Rupali Guha
2018,121.0,Drama,6.5,24,Arup Manna
1984,130.0,Drama,6.4,37,Ravi Tandon
1972,121.0,Drama,6.1,28,Prakash Mehra
1956,130.0,Romance,2.8,5,D.D. Kashyap
1970,177.0,"Drama, Musical, Romance",6.4,211,Mukul Dutt
2004,149.0,"Action, Crime, Drama",5.7,2907,Madhur Bhandarkar
2003,160.0,Drama,5.6,102,Rajesh Ram Singh
1980,138.0,"Action, Drama, Family",6.4,58,Anil Ganguly
1960,134.0,"Drama, Family",4.9,8,Vasant Joglekar
1968,121.0,Drama,5.7,6,Karunesh Thakur
1993,133.0,Action,5.1,16,Swaroop Kumar
